datetime,tweet_type,tweet_text,og_author_id,og_author_name,og_author_desc,og_author_username,tweet_author_id,tweet_author_name,tweet_author_desc,tweet_author_username,date,rounded_datetime,time
2022-10-16 04:38:55,retweeted,RT @TexTheLaw: @BenHundeyin That you are unbelievably fortunate to work in a system with no consequences. Imagine if every police and SARS…,86379135,SP Benjamin Hundeyin,"@PoliceNG Public Relations Officer, Lagos State Command | See bio @LagosPoliceNG for complaint lines | Engendering strategic discussions.",BenHundeyin,2336697621,KingOFRetweets 🇳🇬,"Warri Boy,☺
Event Planner ➡C.E.O DessyLomo Events 
Slide In My DM Because I go Soon Blow 😂",Vj_dessy,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:38:55,replied_to,"@LilliaMarcos it was lining up to go thru the checkout, poor bloke seemed like he was trying to big note himself in front of partner. Didn’t work out so well lolz",560867723,Lillia Marcos 🐀💉💉💉💉,🇪🇸🇲🇽 made in 🇦🇺 Ancient Tech Writer /Digital Project Manager/Atheist/Humanist/Hermit/CO2Guerrilla Profile pic=exasperated face covid NSW/Gatos Data&Lore,LilliaMarcos,2443779228,🦞MUA 4/4 Fully vaxed Union Power,"social justice-workers rights-safety net 4the underprivilegd,respect4 refugees,women,men,LGBTI& First Nations people, r values we shld aspire2-views are my own",mattmua72,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:38:55,replied_to,@RM_Transit Tangential to this. I really dislike the ION Central station isn’t immediately connected to Kitchener GO. Big missed opportunity there for seamless transfer.,1166144223478988800,RMTransit,"Toronto, and Global Rapid Transit Obsessive. Doing my best to amplify the good stuff going on. Previously Computer Scientist, Transportation Planner.",RM_Transit,792305478,ansley,3 years car free,perrierappa,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:38:55,retweeted,"RT @ScottLEOWarrior: I will send one random follower $100 all you have to do is RT and be following myself &amp; @scaredtojumppod

RT their 📌 a…",708584091,Scared To Jump Podcast,The podcast like no other. 🎙  Overcoming mental hurdles and embracing success stories 🧠✨ “We’re all scared to jump; but tell us your story” 🗣,scaredtojumppod,1500498744810565632,penii🐣💜,Tidak ada yang tidak mungkin jika Allah menghendaki🙏🏻😊 // @queenbigwin2022 kena suspend😌,queenbigwinn,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:38:56,retweeted,"RT @khalidkarim: Jakarta minimum wage for 48 hours work is RM1,950.
Our minimum wage for 48 hours work is RM1,500.

That RM450 makes a huge…",16995239,khalid karim Presiden Parti Orang Miskin,,khalidkarim,379531765,syæra 🧜🏻‍♀️🪸🌊🫧,I glowin’ in the dark// 💙H,nrsyahirah19,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:38:50,quoted,He need to be thrown under the jail https://t.co/OWqWYAunoj,1203400771766755334,Viral Uncensored Tv,DM for Promo and Rt’s Turn Post Notification On 🔔 Follow us for Daily Viral Video!,uncensoredpromo,465327888,Tre,Two things I never seen a turtle with speed or a bitch I need IG:TreOutTheBay. Vegan 🌱,treoutthebay,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:38:54,retweeted,RT @therealkyra___: U gotta make me feel like I’m the only girl in the world.. That’s the only way it’s gone work,1041487538052104192,Kyra,the diary of a real b****,therealkyra___,1338472549055807489,pau,QUÉ QUÉ QUEEEE!? 😰,PaulaAlpizar2,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:38:54,retweeted,RT @owTreyalP: I totally didn’t retweet #myheroreborn fanart on my private and commenting on all of them ICISWJAOCNKSOAOS I LOVE YOU GUYS’…,1523826215488004096,naya 🎵 #MyHeroReborn,"the kinda cute alt for @nayaVT! I talk more about my mcyt stuff on here, as well as anime!! 🖤🖤 pfp by @sircutieyuki",owTreyalP,1393306899802595330,🎃🍁PumpkinCake 🍁🎃FrogShiptwt,•#OriginsMCRP fan She/her AxolotlAnarchist. LocalEdenSimp#3 •pfp by @Captain_Froggie banner Darn_Art_is_Hard on insta #FrogShiptwt 🐸#EdenOurBeloved,CakeBean1,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:38:54,replied_to,@Liyah_shield @Just_ATR @pattybaby91 @hotgalhaechan @roseymae002 @zadejahhh @koralinadean it also thinks im 0 years old now for some reason and i cant change it so fuck that lol,1104272756030533632,cay,this twitter account was filmed in front of a live studio audience,koralinadean,1075616466244898816,bentmailbox 🏳️‍⚧️,vampire chick,lucille25585229,2022-10-16,2022-10-16 04:30:00,04:38:31
2022-10-16 04:38:54,replied_to,"@lovingtomodachi this isn’t a joke anymore i genuinely want to be with you my GIGANTIC, JUICY ass clenches at the thought of marrying you and growing old with you until we die side by side as a happy couple i cup your cheeks and kiss you again with tears in my eyes i can’t believe this is real",1578280409770565632,HEIZOU LOVES ME ♡,"ic: kurolee97
werewolf https://t.co/xQa1KpojI1",lovingtomodachi,1550345419888156674,FRANKENSTE҂N.,"life is dear to me, and i will defend it . ❜ Ꮺ",404DESTRUCTIVE,2022-10-16,2022-10-16 04:30:00,04:38:31
